lrrk2	XM_048969273.1
LOC125708011	XM_048975475.1
LOC125708015	XM_048975476.1
utp25	XM_048975477.1
LOC125708017	XM_048975478.1
greb1	XM_048975479.1
greb1	XM_048975480.1
greb1	XM_048975481.1
greb1	XM_048975482.1
greb1	XM_048975483.1
map3k9	XM_048975484.1
LOC125708021	XM_048975485.1
LOC125708021	XM_048975486.1
tmem229b	XM_048975487.1
tmem229b	XM_048975488.1
tmem229b	XM_048975489.1
tmem229b	XM_048975490.1
osr1	XM_048975491.1
LOC125708025	XM_048975492.1
plb1	XM_048975493.1
plb1	XM_048975494.1
plb1	XM_048975495.1
plb1	XM_048975496.1
LOC125708027	XM_048975497.1
mcm8	XM_048975498.1
mcm8	XM_048975499.1
mcm8	XM_048975500.1
mcm8	XM_048975501.1
mcm8	XM_048975502.1
cdc5l	XM_048975503.1
runx2a	XM_048975504.1
runx2a	XM_048975505.1
runx2a	XM_048975506.1
crls1	XM_048975507.1
supt3h	XM_048975508.1
supt3h	XM_048975509.1
supt3h	XM_048975510.1
supt3h	XM_048975511.1
supt3h	XM_048975512.1
supt3h	XM_048975513.1
supt3h	XM_048975514.1
LOC125708035	XM_048975515.1
napba	XM_048975516.1
krr1	XM_048975517.1
napba	XM_048975518.1
sox11a	XM_048975519.1
coq8ab	XM_048975520.1
coq8ab	XM_048975521.1
LOC125708041	XM_048975522.1
LOC125708041	XM_048975523.1
LOC125708041	XM_048975524.1
LOC125708043	XM_048975525.1
plek2	XM_048975526.1
si:ch211-10a23.2	XM_048975527.1
LOC125708046	XM_048975528.1
LOC125708046	XM_048975529.1
LOC125708046	XM_048975530.1
esrrga	XM_048975531.1
esrrga	XM_048975532.1
esrrga	XM_048975533.1
esrrga	XM_048975534.1
esrrga	XM_048975535.1
esrrga	XM_048975536.1
esrrga	XM_048975537.1
esrrga	XM_048975538.1
esrrga	XM_048975539.1
esrrga	XM_048975540.1
esrrga	XM_048975541.1
esrrga	XM_048975542.1
esrrga	XM_048975543.1
LOC125708050	XM_048975544.1
LOC125708051	XM_048975545.1
LOC125708051	XM_048975546.1
LOC125708051	XM_048975547.1
LOC125708051	XM_048975548.1
LOC125708051	XM_048975549.1
spint1a	XM_048975550.1
ppp1r14d	XM_048975551.1
qrsl1	XM_048975552.1
LOC125708057	XM_048975553.1
LOC125708057	XM_048975554.1
LOC125708057	XM_048975555.1
ktn1	XM_048975556.1
ktn1	XM_048975557.1
ktn1	XM_048975558.1
ktn1	XM_048975559.1
ktn1	XM_048975560.1
ktn1	XM_048975561.1
ktn1	XM_048975562.1
peli2	XM_048975563.1
LOC125708062	XM_048975564.1
LOC125708062	XM_048975565.1
LOC125708062	XM_048975566.1
LOC125708062	XM_048975567.1
LOC125708063	XM_048975568.1
LOC125708064	XM_048975569.1
trmt61b	XM_048975570.1
trmt61b	XM_048975571.1
bmp2a	XM_048975572.1
bmp2a	XM_048975573.1
si:dkey-196h17.9	XM_048975574.1
si:dkey-196h17.9	XM_048975575.1
si:dkey-196h17.9	XM_048975576.1
esrrb	XM_048975577.1
si:dkey-13p1.4	XM_048975578.1
atp5if1b	XM_048975579.1
LOC125708073	XM_048975580.1
LOC125708073	XM_048975581.1
LOC125708073	XM_048975582.1
LOC125708073	XM_048975583.1
LOC125708073	XM_048975584.1
LOC125708074	XM_048975585.1
msh4	XM_048975586.1
msh4	XM_048975587.1
msh4	XM_048975588.1
msh4	XM_048975589.1
msh4	XM_048975590.1
fancm	XM_048975591.1
fancm	XM_048975592.1
fancm	XM_048975593.1
LOC125708078	XM_048975594.1
LOC125708078	XM_048975595.1
LOC125708078	XM_048975596.1
LOC125708081	XM_048975597.1
slc25a47b	XM_048975598.1
slc25a47b	XM_048975599.1
slc25a47b	XM_048975600.1
slc25a47b	XM_048975601.1
LOC125708083	XM_048975602.1
LOC125708083	XM_048975603.1
soul3	XM_048975604.1
foxa1	XM_048975605.1
prox2	XM_048975606.1
vrtn	XM_048975607.1
lrfn5a	XM_048975608.1
dync1h1	XM_048975609.1
dync1h1	XM_048975610.1
LOC125708094	XM_048975611.1
LOC125708094	XM_048975612.1
pax1a	XM_048975613.1
pkdccb	XM_048975614.1
clic5a	XM_048975615.1
clic5a	XM_048975616.1
si:ch1073-416d2.4	XM_048975617.1
LOC125708100	XM_048975618.1
crybg1a	XM_048975619.1
crybg1a	XM_048975620.1
tonsl	XM_048975621.1
rtn4ip1	XM_048975622.1
LOC125708105	XM_048975623.1
LOC125708105	XM_048975624.1
LOC125708105	XM_048975625.1
LOC125708105	XM_048975626.1
LOC125708105	XM_048975627.1
LOC125708106	XM_048975628.1
LOC125708106	XM_048975629.1
LOC125708106	XM_048975630.1
ccdc107	XM_048975631.1
LOC125708108	XM_048975632.1
pacrg	XM_048975633.1
LOC125708113	XM_048975634.1
LOC125708114	XM_048975635.1
vcpkmt	XM_048975636.1
LOC125708117	XM_048975637.1
syne2b	XM_048975638.1
syne2b	XM_048975639.1
syne2b	XM_048975640.1
syne2b	XM_048975641.1
syne2b	XM_048975642.1
syne2b	XM_048975643.1
syne2b	XM_048975644.1
syne2b	XM_048975645.1
syne2b	XM_048975646.1
syne2b	XM_048975647.1
syne2b	XM_048975648.1
syne2b	XM_048975649.1
syne2b	XM_048975650.1
syne2b	XM_048975651.1
syne2b	XM_048975652.1
syne2b	XM_048975653.1
syne2b	XM_048975654.1
syne2b	XM_048975655.1
syne2b	XM_048975656.1
syne2b	XM_048975657.1
syne2b	XM_048975658.1
syne2b	XM_048975659.1
syne2b	XM_048975660.1
syne2b	XM_048975661.1
syne2b	XM_048975662.1
syne2b	XM_048975663.1
syne2b	XM_048975664.1
syne2b	XM_048975665.1
syne2b	XM_048975666.1
syne2b	XM_048975667.1
syne2b	XM_048975668.1
syne2b	XM_048975669.1
syne2b	XM_048975670.1
syne2b	XM_048975671.1
syne2b	XM_048975672.1
syne2b	XM_048975673.1
syne2b	XM_048975674.1
syne2b	XM_048975675.1
syne2b	XM_048975676.1
syne2b	XM_048975677.1
syne2b	XM_048975678.1
syne2b	XM_048975679.1
syne2b	XM_048975680.1
syne2b	XM_048975681.1
syne2b	XM_048975682.1
syne2b	XM_048975683.1
syne2b	XM_048975684.1
syne2b	XM_048975685.1
syne2b	XM_048975686.1
syne2b	XM_048975687.1
LOC125708125	XM_048975688.1
LOC125708125	XM_048975689.1
LOC125708126	XM_048975690.1
ccdc177	XM_048975691.1
otx2b	XM_048975692.1
LOC125708130	XM_048975693.1
LOC125708130	XM_048975694.1
LOC125708130	XM_048975695.1
LOC125708130	XM_048975696.1
LOC125708130	XM_048975697.1
LOC125708131	XM_048975698.1
LOC125708131	XM_048975699.1
LOC125708131	XM_048975700.1
ngb	XM_048975701.1
ngb	XM_048975702.1
colec11	XM_048975703.1
colec11	XM_048975704.1
colec11	XM_048975705.1
colec11	XM_048975706.1
si:dkeyp-110a12.4	XM_048975707.1
LOC125708137	XM_048975708.1
fam167aa	XM_048975709.1
foxa2	XM_048975710.1
LOC125708140	XM_048975711.1
LOC125708140	XM_048975712.1
prlh2r	XM_048975713.1
prlh2r	XM_048975714.1
ccdc107	XM_048975715.1
cnksr1	XM_048975716.1
cnksr1	XM_048975717.1
cnksr1	XM_048975718.1
grhl3	XM_048975719.1
nipal3	XM_048975720.1
rcan3	XM_048975721.1
rcan3	XM_048975722.1
rcan3	XM_048975723.1
rcan3	XM_048975724.1
rcan3	XM_048975725.1
slc35f4	XM_048975726.1
slc35f4	XM_048975727.1
slc35f4	XM_048975728.1
slc35f4	XM_048975729.1
slc35f4	XM_048975730.1
LOC125708151	XM_048975731.1
prima1	XM_048975732.1
prima1	XM_048975733.1
prima1	XM_048975734.1
tmem121aa	XM_048975735.1
tmem121aa	XM_048975736.1
tmem121aa	XM_048975737.1
sptb	XM_048975738.1
sptb	XM_048975739.1
sptb	XM_048975740.1
sptb	XM_048975741.1
LOC125708156	XM_048975742.1
LOC125708157	XM_048975743.1
luzp1	XM_048975744.1
kdm1a	XM_048975745.1
ptafr	XM_048975746.1
ptafr	XM_048975747.1
tmem30b	XM_048975748.1
tmem30b	XM_048975749.1
tmem30b	XM_048975750.1
LOC125708167	XM_048975751.1
LOC125708169	XM_048975752.1
htr1d	XM_048975753.1
htr1d	XM_048975754.1
htr1d	XM_048975755.1
spata17	XM_048975756.1
ccdc107	XM_048975757.1
apc2	XM_048975758.1
nwd1	XM_048975759.1
nwd1	XM_048975760.1
LOC125708314	XM_048975761.1
LOC125708012	XM_048975762.1
LOC125708317	XM_048975763.1
LOC125708317	XM_048975764.1
LOC125708317	XM_048975765.1
LOC125708317	XM_048975766.1
ptbp1b	XM_048975767.1
oma1	XM_048975768.1
si:ch73-60h1.1	XM_048975769.1
si:ch73-60h1.1	XM_048975770.1
LOC125708322	XM_048975771.1
LOC125708322	XM_048975772.1
si:ch211-262i1.4	XM_048975773.1
si:ch211-262i1.4	XM_048975774.1
LOC125708324	XM_048975775.1
LOC125708325	XM_048975776.1
LOC125708325	XM_048975777.1
LOC125708325	XM_048975778.1
LOC125708325	XM_048975779.1
LOC125708325	XM_048975780.1
LOC125708325	XM_048975781.1
palm1a	XM_048975782.1
palm1a	XM_048975783.1
sgta	XM_048975784.1
sgta	XM_048975785.1
LOC125708329	XM_048975786.1
zgc:113223	XM_048975787.1
zgc:113223	XM_048975788.1
tspan37	XM_048975789.1
efna2a	XM_048975790.1
diras1a	XM_048975791.1
reep6	XM_048975792.1
reep6	XM_048975793.1
LOC125708336	XM_048975794.1
fam174c	XM_048975795.1
c15h19orf25	XM_048975796.1
c15h19orf25	XM_048975797.1
cart1	XM_048975798.1
gng7	XM_048975799.1
dapk3	XM_048975800.1
wdr18	XM_048975801.1
si:ch211-1a19.3	XM_048975802.1
notch2	XM_048975803.1
notch2	XM_048975804.1
fam78bb	XM_048975805.1
LOC125708357	XM_048975806.1
LOC125708360	XM_048975807.1
crtc1a	XM_048975808.1
crtc1a	XM_048975809.1
crtc1a	XM_048975810.1
crsp7	XM_048975811.1
crsp7	XM_048975812.1
crsp7	XM_048975813.1
klhl26	XM_048975814.1
klhl26	XM_048975815.1
klhl26	XM_048975816.1
tmem38a	XM_048975817.1
tmem38a	XM_048975818.1
tmem38a	XM_048975819.1
smim7	XM_048975820.1
LOC125708367	XM_048975821.1
LOC125708367	XM_048975822.1
LOC125708367	XM_048975823.1
LOC125708367	XM_048975824.1
LOC125708367	XM_048975825.1
LOC125708367	XM_048975826.1
LOC125708367	XM_048975827.1
LOC125708367	XM_048975828.1
LOC125708367	XM_048975829.1
LOC125708367	XM_048975830.1
LOC125708367	XM_048975831.1
LOC125708367	XM_048975832.1
LOC125708367	XM_048975833.1
LOC125708367	XM_048975834.1
LOC125708367	XM_048975835.1
LOC125708367	XM_048975836.1
LOC125708367	XM_048975837.1
LOC125708367	XM_048975838.1
LOC125708367	XM_048975839.1
LOC125708367	XM_048975840.1
LOC125708367	XM_048975841.1
LOC125708373	XM_048975842.1
LOC125708373	XM_048975843.1
LOC125708373	XM_048975844.1
LOC125708373	XM_048975845.1
LOC125708373	XM_048975846.1
LOC125708373	XM_048975847.1
timm44	XM_048975848.1
LOC125708376	XM_048975849.1
LOC125708376	XM_048975850.1
LOC125708376	XM_048975851.1
LOC125708377	XM_048975852.1
LOC125708378	XM_048975853.1
rexo1	XM_048975854.1
mknk2b	XM_048975855.1
mknk2b	XM_048975856.1
LOC125708382	XM_048975857.1
LOC125708382	XM_048975858.1
LOC125708382	XM_048975859.1
LOC125708382	XM_048975860.1
sned1	XM_048975861.1
slco2a1	XM_048975862.1
slco2a1	XM_048975863.1
LOC125708386	XM_048975864.1
LOC125708386	XM_048975865.1
LOC125708386	XM_048975866.1
klhl30	XM_048975867.1
klhl30	XM_048975868.1
zgc:103559	XM_048975869.1
zgc:103559	XM_048975870.1
zgc:103559	XM_048975871.1
scly	XM_048975872.1
LOC125708391	XM_048975873.1
LOC125708391	XM_048975874.1
abca7	XM_048975875.1
cnn2	XM_048975876.1
faf1	XM_048975877.1
LOC125708397	XM_048975878.1
dmrta2	XM_048975879.1
LOC125708399	XM_048975880.1
dock7	XM_048975881.1
usp1	XM_048975882.1
usp1	XM_048975883.1
usp1	XM_048975884.1
atg4c	XM_048975885.1
atg4c	XM_048975886.1
angptl3	XM_048975887.1
LOC125708405	XM_048975888.1
LOC125708405	XM_048975889.1
LOC125708405	XM_048975890.1
il12rb2	XM_048975891.1
il12rb2	XM_048975892.1
serbp1a	XM_048975893.1
serbp1a	XM_048975894.1
serbp1a	XM_048975895.1
serbp1a	XM_048975896.1
LOC125708409	XM_048975897.1
LOC125708409	XM_048975898.1
LOC125708409	XM_048975899.1
LOC125708409	XM_048975900.1
LOC125708409	XM_048975901.1
LOC125708409	XM_048975902.1
LOC125708411	XM_048975903.1
LOC125708411	XM_048975904.1
LOC125708411	XM_048975905.1
LOC125708411	XM_048975906.1
LOC125708411	XM_048975907.1
LOC125708411	XM_048975908.1
LOC125708411	XM_048975909.1
LOC125708411	XM_048975910.1
LOC125708411	XM_048975911.1
LOC125708413	XM_048975912.1
LOC125708413	XM_048975913.1
nlgn1	XM_048975914.1
nlgn1	XM_048975915.1
nlgn1	XM_048975916.1
nlgn1	XM_048975917.1
nlgn1	XM_048975918.1
nlgn1	XM_048975919.1
nlgn1	XM_048975920.1
nlgn1	XM_048975921.1
LOC125708416	XM_048975922.1
LOC125708416	XM_048975923.1
LOC125708416	XM_048975924.1
LOC125708416	XM_048975925.1
pcsk9	XM_048975926.1
LOC125708418	XM_048975927.1
LOC125708418	XM_048975928.1
LOC125708418	XM_048975929.1
LOC125708418	XM_048975930.1
LOC125708418	XM_048975931.1
LOC125708418	XM_048975932.1
LOC125708418	XM_048975933.1
LOC125708418	XM_048975934.1
LOC125708420	XM_048975935.1
ttc22	XM_048975936.1
LOC125708423	XM_048975937.1
LOC125708423	XM_048975938.1
LOC125708423	XM_048975939.1
LOC125708423	XM_048975940.1
LOC125708423	XM_048975941.1
pars2	XM_048975942.1
pars2	XM_048975943.1
ttc4	XM_048975944.1
LOC125708427	XM_048975945.1
hykk.2	XM_048975946.1
zmat3	XM_048975947.1
lurap1	XM_048975948.1
LOC125708431	XM_048975949.1
LOC125708431	XM_048975950.1
LOC125708431	XM_048975951.1
LOC125708431	XM_048975952.1
LOC125708431	XM_048975953.1
LOC125708431	XM_048975954.1
LOC125708431	XM_048975955.1
LOC125708431	XM_048975956.1
LOC125708433	XM_048975957.1
c15h1orf52	XM_048975958.1
si:ch211-121a2.4	XM_048975959.1
si:ch211-121a2.4	XM_048975960.1
si:ch211-121a2.4	XM_048975961.1
si:ch211-121a2.4	XM_048975962.1
si:ch211-121a2.4	XM_048975963.1
si:ch211-121a2.4	XM_048975964.1
bsnd	XM_048975965.1
si:dkeyp-51f12.2	XM_048975966.1
LOC125708439	XM_048975967.1
ankrd13c	XM_048975968.1
cth	XM_048975969.1
suco	XM_048975970.1
suco	XM_048975971.1
suco	XM_048975972.1
suco	XM_048975973.1
dnm3a	XM_048975974.1
dnm3a	XM_048975975.1
dnm3a	XM_048975976.1
dnm3a	XM_048975977.1
pigc	XM_048975978.1
pigc	XM_048975979.1
tmed5	XM_048975980.1
LOC125708454	XM_048975981.1
swt1	XM_048975982.1
swt1	XM_048975983.1
swt1	XM_048975984.1
swt1	XM_048975985.1
LOC125708456	XM_048975986.1
trmt1l	XM_048975987.1
trmt1l	XM_048975988.1
ivns1abpa	XM_048975989.1
ivns1abpa	XM_048975990.1
slc25a24	XM_048975991.1
rnf2	XM_048975992.1
rnf2	XM_048975993.1
rnf2	XM_048975994.1
ntmt2	XM_048975995.1
ntmt2	XM_048975996.1
LOC125708465	XM_048975997.1
LOC125708465	XM_048975998.1
LOC125708465	XM_048975999.1
LOC125708465	XM_048976000.1
LOC125708465	XM_048976001.1
kifap3a	XM_048976002.1
ncoa2	XM_048976003.1
ncoa2	XM_048976004.1
ncoa2	XM_048976005.1
xkr9	XM_048976006.1
tram1	XM_048976007.1
srsf11	XM_048976008.1
srsf11	XM_048976009.1
srsf11	XM_048976010.1
srsf11	XM_048976011.1
srsf11	XM_048976012.1
srsf11	XM_048976013.1
LOC125708476	XM_048976014.1
LOC125708476	XM_048976015.1
LOC125708477	XM_048976016.1
LOC125708477	XM_048976017.1
LOC125708477	XM_048976018.1
LOC125708479	XM_048976019.1
LOC125708480	XM_048976020.1
LOC125708480	XM_048976021.1
LOC125708481	XM_048976022.1
LOC125708481	XM_048976023.1
cdc14ab	XM_048976024.1
cdc14ab	XM_048976025.1
cdc14ab	XM_048976026.1
cdc14ab	XM_048976027.1
cdc14ab	XM_048976028.1
cdc14ab	XM_048976029.1
cdc14ab	XM_048976030.1
cdc14ab	XM_048976031.1
cdc14ab	XM_048976032.1
cdc14ab	XM_048976033.1
vcam1b	XM_048976034.1
rtca	XM_048976035.1
gpr88	XM_048976036.1
eps15l1a	XM_048976037.1
eps15l1a	XM_048976038.1
eps15l1a	XM_048976039.1
eps15l1a	XM_048976040.1
eps15l1a	XM_048976041.1
eps15l1a	XM_048976042.1
klf2a	XM_048976043.1
klf2a	XM_048976044.1
zbtb7a	XM_048976045.1
zbtb7a	XM_048976046.1
zbtb7a	XM_048976047.1
zbtb7a	XM_048976048.1
zbtb7a	XM_048976049.1
zbtb7a	XM_048976050.1
zbtb7a	XM_048976051.1
zbtb7a	XM_048976052.1
LOC125708494	XM_048976053.1
LOC125708494	XM_048976054.1
LOC125708494	XM_048976055.1
LOC125708494	XM_048976056.1
fsd1	XM_048976057.1
mpnd	XM_048976058.1
mpnd	XM_048976059.1
sh3gl1b	XM_048976060.1
sh3gl1b	XM_048976061.1
sh3gl1b	XM_048976062.1
grin3bb	XM_048976063.1
med16	XM_048976064.1
med16	XM_048976065.1
med16	XM_048976066.1
med16	XM_048976067.1
med16	XM_048976068.1
med16	XM_048976069.1
med16	XM_048976070.1
plppr3b	XM_048976071.1
tmem259	XM_048976072.1
tmem259	XM_048976073.1
tmem259	XM_048976074.1
tmem259	XM_048976075.1
LOC125708507	XM_048976076.1
tprb	XM_048976077.1
tprb	XM_048976078.1
tprb	XM_048976079.1
tprb	XM_048976080.1
tprb	XM_048976081.1
tprb	XM_048976082.1
scyl3	XM_048976083.1
scyl3	XM_048976084.1
scyl3	XM_048976085.1
prg4b	XM_048976086.1
lrp8	XM_048976087.1
lrp8	XM_048976088.1
ap1m3	XM_048976089.1
ap1m3	XM_048976090.1
dmrt2b	XM_048976091.1
dmrt2b	XM_048976092.1
dmrt2b	XM_048976093.1
ebna1bp2	XM_048976094.1
LOC125708517	XM_048976095.1
LOC125708517	XM_048976096.1
LOC125708517	XM_048976097.1
LOC125708517	XM_048976098.1
c15h1orf210	XM_048976099.1
fam183a	XM_048976100.1
upf1	XM_048976101.1
upf1	XM_048976102.1
ddx49	XM_048976103.1
LOC125708523	XM_048976104.1
LOC125708523	XM_048976105.1
LOC125708524	XM_048976106.1
ano6	XM_048976107.1
crb1	XM_048976108.1
dennd1b	XM_048976109.1
dennd1b	XM_048976110.1
dennd1b	XM_048976111.1
dennd1b	XM_048976112.1
dennd1b	XM_048976113.1
pde4ba	XM_048976114.1
pde4ba	XM_048976115.1
pde4ba	XM_048976116.1
LOC125708532	XM_048976117.1
pik3r2	XM_048976118.1
pik3r2	XM_048976119.1
LOC125708534	XM_048976120.1
eps15	XM_048976121.1
eps15	XM_048976122.1
eps15	XM_048976123.1
eps15	XM_048976124.1
calr	XM_048976125.1
LOC125708539	XM_048976126.1
LOC125708539	XM_048976127.1
LOC125708539	XM_048976128.1
LOC125708539	XM_048976129.1
LOC125708539	XM_048976130.1
LOC125708539	XM_048976131.1
LOC125708539	XM_048976132.1
LOC125708539	XM_048976133.1
LOC125708539	XM_048976134.1
LOC125708539	XM_048976135.1
LOC125708539	XM_048976136.1
rc3h1a	XM_048976137.1
rc3h1a	XM_048976138.1
rc3h1a	XM_048976139.1
rc3h1a	XM_048976140.1
arid3a	XM_048976141.1
arid3a	XM_048976142.1
arid3a	XM_048976143.1
arid3a	XM_048976144.1
arid3a	XM_048976145.1
LOC125708544	XM_048976146.1
LOC125708544	XM_048976147.1
LOC125708544	XM_048976148.1
LOC125708544	XM_048976149.1
LOC125708544	XM_048976150.1
LOC125708544	XM_048976151.1
LOC125708544	XM_048976152.1
LOC125708544	XM_048976153.1
ctdspl3	XM_048976154.1
ctdspl3	XM_048976155.1
ctdspl3	XM_048976156.1
ctdspl3	XM_048976157.1
gamt	XM_048976158.1
ndufs7	XM_048976159.1
LOC125708550	XM_048976160.1
LOC125708550	XM_048976161.1
LOC125708550	XM_048976162.1
zc2hc1a	XM_048976163.1
zc2hc1a	XM_048976164.1
pex2	XM_048976165.1
LOC125708555	XM_048976166.1
LOC125708555	XM_048976167.1
pde7a	XM_048976168.1
pde7a	XM_048976169.1
pde7a	XM_048976170.1
pde7a	XM_048976171.1
pde7a	XM_048976172.1
pde7a	XM_048976173.1
pde7a	XM_048976174.1
pde7a	XM_048976175.1
pde7a	XM_048976176.1
pde7a	XM_048976177.1
mtfr1	XM_048976178.1
armc1	XM_048976179.1
armc1	XM_048976180.1
jak1	XM_048976181.1
raver2	XM_048976182.1
jak3	XM_048976183.1
slc5a5	XM_048976184.1
slc5a5	XM_048976185.1
ccdc124	XM_048976186.1
ccdc124	XM_048976187.1
ccdc124	XM_048976188.1
LOC125708566	XM_048976189.1
LOC125708566	XM_048976190.1
LOC125708566	XM_048976191.1
LOC125708566	XM_048976192.1
LOC125708566	XM_048976193.1
LOC125708566	XM_048976194.1
LOC125708566	XM_048976195.1
LOC125708566	XM_048976196.1
LOC125708566	XM_048976197.1
LOC125708566	XM_048976198.1
LOC125708570	XM_048976199.1
btbd2a	XM_048976200.1
camsap2a	XM_048976201.1
camsap2a	XM_048976202.1
camsap2a	XM_048976203.1
camsap2a	XM_048976204.1
camsap2a	XM_048976205.1
camsap2a	XM_048976206.1
camsap2a	XM_048976207.1
camsap2a	XM_048976208.1
LOC125708574	XM_048976209.1
LOC125708574	XM_048976210.1
LOC125708574	XM_048976211.1
LOC125708574	XM_048976212.1
LOC125708574	XM_048976213.1
LOC125708574	XM_048976214.1
LOC125708574	XM_048976215.1
LOC125708575	XM_048976216.1
LOC125708575	XM_048976217.1
LOC125708575	XM_048976218.1
LOC125708575	XM_048976219.1
LOC125708575	XM_048976220.1
LOC125708575	XM_048976221.1
LOC125708577	XM_048976222.1
LOC125708578	XM_048976223.1
LOC125708578	XM_048976224.1
LOC125708578	XM_048976225.1
LOC125708578	XM_048976226.1
efcab7	XM_048976227.1
efcab7	XM_048976228.1
pgm1	XM_048976229.1
alg6	XM_048976230.1
foxd3	XM_048976231.1
LOC125708584	XM_048976232.1
pwp1	XM_048976233.1
LOC125708584	XM_048976234.1
nek7	XM_048976235.1
nek7	XM_048976236.1
nek7	XM_048976237.1
nek7	XM_048976238.1
nek7	XM_048976239.1
abhd17ab	XM_048976240.1
zgc:77486	XM_048976241.1
inpp5d	XM_048976242.1
bcl6aa	XM_048976243.1
bcl6aa	XM_048976244.1
LOC125708594	XM_048976245.1
LOC125708594	XM_048976246.1
LOC125708594	XM_048976247.1
LOC125708594	XM_048976248.1
ptprsa	XM_048976249.1
ptprsa	XM_048976250.1
ptprsa	XM_048976251.1
ptprsa	XM_048976252.1
ptprsa	XM_048976253.1
ptprsa	XM_048976254.1
ptprsa	XM_048976255.1
safb	XM_048976256.1
sass6	XM_048976257.1
sass6	XM_048976258.1
sass6	XM_048976259.1
LOC125708600	XM_048976260.1
trmt13	XM_048976261.1
trmt13	XM_048976262.1
trmt13	XM_048976263.1
trmt13	XM_048976264.1
lrrc39	XM_048976265.1
LOC125708604	XM_048976266.1
exoc1	XM_048976267.1
exoc1	XM_048976268.1
exoc1	XM_048976269.1
exoc1	XM_048976270.1
exoc1	XM_048976271.1
exoc1	XM_048976272.1
exoc1	XM_048976273.1
exoc1	XM_048976274.1
dazap1	XM_048976275.1
dazap1	XM_048976276.1
dazap1	XM_048976277.1
dazap1	XM_048976278.1
dazap1	XM_048976279.1
chaf1a	XM_048976280.1
chaf1a	XM_048976281.1
chaf1a	XM_048976282.1
ubxn6	XM_048976283.1
ubxn6	XM_048976284.1
ubxn6	XM_048976285.1
scamp4	XM_048976286.1
LOC125708613	XM_048976287.1
LOC125708613	XM_048976288.1
LOC125708613	XM_048976289.1
LOC125708613	XM_048976290.1
LOC125708613	XM_048976291.1
LOC125708613	XM_048976292.1
LOC125708613	XM_048976293.1
LOC125708615	XM_048976294.1
LOC125708615	XM_048976295.1
hps3	XM_048976296.1
hps3	XM_048976297.1
ahsg1	XM_048976298.1
fetub	XM_048976299.1
ttc14	XM_048976300.1
ttc14	XM_048976301.1
ttc14	XM_048976302.1
ttc14	XM_048976303.1
ttc14	XM_048976304.1
jund	XM_048976305.1
rab3ab	XM_048976306.1
dnajc6	XM_048976307.1
dnajc6	XM_048976308.1
dnajc6	XM_048976309.1
ak4	XM_048976310.1
ak4	XM_048976311.1
ttc39a	XM_048976312.1
cdkn2c	XM_048976313.1
rnf11b	XM_048976314.1
LOC125708635	XM_048976315.1
LOC125708635	XM_048976316.1
LOC125708635	XM_048976317.1
LOC125708635	XM_048976318.1
LOC125708635	XM_048976319.1
LOC125708635	XM_048976320.1
xxylt1	XM_048976321.1
xxylt1	XM_048976322.1
sema6bb	XM_048976323.1
sema6bb	XM_048976324.1
plin3	XM_048976325.1
arfgef1	XM_048976326.1
LOC125708642	XM_048976327.1
LOC125708642	XM_048976328.1
LOC125708643	XM_048976329.1
LOC125708643	XM_048976330.1
LOC125708643	XM_048976331.1
uba52	XM_048976332.1
dpp9	XM_048976333.1
dpp9	XM_048976334.1
dpp9	XM_048976335.1
dpp9	XM_048976336.1
dpp9	XM_048976337.1
dpp9	XM_048976338.1
rps15	XM_048976339.1
c15h19orf44	XM_048976340.1
c15h19orf44	XM_048976341.1
c15h19orf44	XM_048976342.1
c15h19orf44	XM_048976343.1
c15h19orf44	XM_048976344.1
rad23ab	XM_048976345.1
rad23ab	XM_048976346.1
LOC125708654	XM_048976347.1
LOC125708655	XM_048976348.1
LOC125708655	XM_048976349.1
LOC125708655	XM_048976350.1
LOC125708655	XM_048976351.1
LOC125708655	XM_048976352.1
il12rb1	XM_048976353.1
il12rb1	XM_048976354.1
il12rb1	XM_048976355.1
il12rb1	XM_048976356.1
peak3	XM_048976357.1
oaz1a	XM_048976358.1
matk	XM_048976359.1
matk	XM_048976360.1
matk	XM_048976361.1
matk	XM_048976362.1
LOC125708662	XM_048976363.1
LOC125708662	XM_048976364.1
LOC125708662	XM_048976365.1
LOC125708662	XM_048976366.1
LOC125708663	XM_048976367.1
si:rp71-39b20.4	XM_048976368.1
LOC125708665	XM_048976369.1
LOC125708665	XM_048976370.1
LOC125708665	XM_048976371.1
si:ch73-40i7.2	XM_048976372.1
LOC125708669	XM_048976373.1
LOC125708669	XM_048976374.1
LOC125708669	XM_048976375.1
LOC125708669	XM_048976376.1
LOC125708669	XM_048976377.1
LOC125708669	XM_048976378.1
slc35e1	XM_048976379.1
slc35e1	XM_048976380.1
LOC125708673	XM_048976381.1
LOC125708673	XM_048976382.1
LOC125708673	XM_048976383.1
LOC125708673	XM_048976384.1
prkaa2	XM_048976385.1
ube2nb	XM_048976386.1
prkaa2	XM_048976387.1
prkaa2	XM_048976388.1
paics	XM_048976389.1
paics	XM_048976390.1
paics	XM_048976391.1
paics	XM_048976392.1
mysm1	XM_048976393.1
si:dkeyp-117h8.4	XM_048976394.1
ppat	XM_048976395.1
ppat	XM_048976396.1
LOC125708681	XM_048976397.1
LOC125708681	XM_048976398.1
LOC125708681	XM_048976399.1
LOC125708681	XM_048976400.1
LOC125708681	XM_048976401.1
LOC125708681	XM_048976402.1
LOC125708681	XM_048976403.1
